Brand,RAM,Storage,Camera,Battery,Display,Age,Price
Xiaomi,12,64,16,4428,6.4,0,37800
Samsung,12,256,64,5966,6.6,3,33181
Asus,8,64,32,5916,6.3,2,30474
Xiaomi,8,256,108,4100,6.4,0,38400
OnePlus,4,128,64,5795,6.8,0,39200
Samsung,6,128,64,3812,6.2,0,44200
Samsung,12,128,64,5407,6.1,1,43978
Samsung,4,256,32,4776,6.5,5,19755
Vivo,6,64,12,5558,6.7,0,29600
Asus,12,128,64,4924,6.7,3,29711
OnePlus,4,64,12,3718,6.3,4,14764
Xiaomi,8,128,108,5110,6.3,5,5000
Samsung,12,64,48,5457,6.9,0,49400
Asus,4,64,16,5588,6.7,0,34800
Oppo,4,64,64,3766,6.1,0,31200
Samsung,8,64,16,5309,6.6,1,38079
OnePlus,6,128,48,3770,6.8,4,22032
Oppo,8,128,16,5020,6.4,3,15775
Realme,8,256,16,5438,6.9,2,19252
Oppo,6,256,16,5444,6.4,3,11483
Oppo,12,64,64,4085,6.6,4,19112
Vivo,4,128,16,5560,6.4,5,5000
Oppo,6,256,16,3993,6.6,1,26152
Asus,6,256,108,5925,6.1,2,31420
OnePlus,12,256,12,4764,6.5,2,30906
Vivo,12,64,16,4258,6.7,2,26460
Samsung,4,64,64,4551,6.5,4,19960
Xiaomi,6,128,108,5012,6.3,4,19132
Samsung,8,64,108,5381,6.3,5,20230
Xiaomi,6,256,12,5697,6.2,4,11612
Asus,4,64,16,5674,6.3,0,34800
Apple,12,256,12,4586,6.7,4,54724
Apple,4,256,48,5075,6.6,1,60350
Realme,8,64,12,5014,6.8,0,30600
OnePlus,8,256,108,4184,6.7,0,45400
Xiaomi,8,128,64,5433,6.8,2,23418
Xiaomi,6,256,16,5849,6.2,2,21136
Samsung,6,128,32,3999,6.2,3,24579
OnePlus,8,256,64,4546,6.3,1,36712
Vivo,4,64,32,4193,6.1,2,14624
Realme,8,128,48,3718,6.2,1,26947
Asus,8,128,32,5970,6.6,2,29306
Vivo,6,128,48,4668,6.3,0,31400
OnePlus,6,256,32,4815,6.6,0,39600
Apple,4,64,32,5685,6.8,1,61395
OnePlus,12,256,16,5203,6.5,5,21350
Oppo,4,256,12,5811,6.4,2,16564
OnePlus,8,64,32,5906,6.1,3,23441
Vivo,6,128,108,4112,6.7,5,5000
Asus,8,128,12,4909,6.6,0,38600
OnePlus,8,128,12,5532,6.6,2,32070
Xiaomi,8,128,64,4688,6.8,4,16140
Asus,12,256,12,4361,6.4,3,29964
Apple,12,256,12,5769,6.5,0,72600
Oppo,6,128,32,5320,6.6,2,19622
Vivo,6,128,108,5166,6.4,1,30369
Xiaomi,4,256,12,3682,6.5,0,29600
Oppo,6,128,32,5681,6.1,2,18976
OnePlus,4,64,32,3837,6.5,1,33253
Samsung,6,64,16,4690,6.2,5,10665
Realme,8,256,16,5546,6.2,5,5000
Apple,6,64,64,4292,6.9,1,65177
Vivo,8,256,32,5046,6.7,5,9340
Asus,4,256,108,5276,6.5,4,17380
Samsung,12,256,48,3655,6.6,4,30440
Asus,6,128,48,3992,6.4,3,19077
Asus,12,256,64,5735,6.6,1,40568
Oppo,8,64,64,5567,6.2,5,5780
Oppo,6,128,12,5793,6.2,2,20144
Asus,8,64,32,4468,6.4,0,39600
OnePlus,12,64,16,5721,6.7,4,21296
Vivo,4,128,48,5212,6.8,5,8840
Asus,4,256,108,5565,6.4,4,14096
Realme,6,64,48,4918,6.8,4,12012
Vivo,6,64,48,5763,6.4,5,7235
Samsung,6,64,48,4147,6.3,5,18275
Vivo,6,128,108,5849,6.7,1,28358
Samsung,4,128,32,4135,6.8,2,29976
Asus,4,64,108,3568,6.7,2,30442
Realme,12,64,48,5772,6.4,5,9250
Vivo,8,64,16,4413,6.4,2,23480
Vivo,6,128,64,5583,6.8,4,13580
OnePlus,8,128,48,4397,6.6,1,37289
Vivo,6,128,48,5577,6.4,5,5000
Xiaomi,6,128,108,3533,6.9,4,13092
Vivo,8,128,48,5651,6.2,2,23652
Apple,12,128,12,3734,6.1,4,49840
Xiaomi,8,64,108,5991,6.4,0,38400
Oppo,12,256,48,4782,6.4,3,19971
Oppo,12,256,16,5082,6.3,4,12280
Oppo,12,64,108,3917,6.7,1,35703
Xiaomi,8,64,108,5610,6.3,1,32560
Realme,6,128,64,3834,6.9,5,10515
Realme,6,64,12,5512,6.2,2,16098
Apple,4,64,48,5341,6.6,4,43680
Vivo,4,256,64,5943,6.6,1,25217
Oppo,4,128,32,5960,6.5,0,29600
Samsung,4,256,64,5779,6.1,1,37618
Asus,8,256,16,3996,6.6,1,32052
Vivo,8,256,32,3966,6.7,0,32600
Apple,12,128,12,5514,6.7,3,57594
Vivo,4,256,16,5726,6.3,3,8246
Asus,4,256,16,4173,6.4,0,34800
Samsung,8,256,48,5129,6.4,4,28468
Oppo,12,128,32,4139,6.3,5,15215
Vivo,12,128,12,4289,6.2,3,17993
Apple,8,256,48,4938,6.2,4,51212
Asus,4,256,108,5317,6.2,3,26896
Vivo,12,64,64,4512,6.5,5,5000
Samsung,12,128,16,5287,6.4,1,43558
Xiaomi,4,64,108,5630,6.7,1,29061
Apple,6,64,48,3922,6.5,1,64120
Vivo,8,256,12,4691,6.3,5,6220
OnePlus,8,64,16,5769,6.5,3,25812
Oppo,12,256,32,5152,6.1,1,32757
Xiaomi,12,256,108,4582,6.8,4,26064
Realme,8,128,48,4154,6.8,4,14412
Realme,6,256,12,5034,6.6,5,5000
Oppo,4,64,16,4385,6.4,3,11745
Asus,12,256,32,4635,6.8,5,10615
Asus,4,256,64,3843,6.2,4,11928
Samsung,6,256,16,4611,6.4,4,20348
Xiaomi,8,128,12,3905,6.4,5,5140
Oppo,12,256,108,4875,6.5,2,31510
Xiaomi,12,64,32,4631,6.2,1,32408
Vivo,6,128,64,3778,6.6,2,19606
Xiaomi,12,256,64,4842,6.6,2,28098
Xiaomi,6,256,64,5647,6.7,1,28569
Oppo,6,128,48,4729,6.5,4,5156
Oppo,4,64,48,5942,6.3,2,17694
OnePlus,4,64,32,5899,6.6,0,37600
Oppo,6,256,16,4530,6.6,4,9636
Asus,8,64,16,3607,6.7,0,38800
OnePlus,12,64,108,3970,6.2,3,34493
Asus,4,256,48,4593,6.1,5,7805
Vivo,8,64,32,4064,6.4,4,8632
OnePlus,6,256,64,5583,6.9,1,36331
Apple,12,128,12,4366,6.6,1,68241
Samsung,8,64,64,5731,6.7,4,25948
Asus,12,64,16,3896,6.7,2,33160
Asus,4,128,48,5228,6.7,4,10752
OnePlus,6,64,64,5284,6.2,1,35534
Samsung,12,64,32,3896,6.4,4,26228
Oppo,4,64,48,5855,6.5,4,9604
Xiaomi,12,64,32,4491,6.2,2,24944
Apple,12,64,48,5633,6.4,5,51010
Xiaomi,12,256,108,4013,6.2,4,16964
Vivo,8,64,16,3858,6.6,4,15684
Apple,4,256,16,3907,6.7,0,64800
OnePlus,12,256,12,4857,6.7,2,31076
Xiaomi,12,128,108,5064,6.5,3,22798
Vivo,12,256,48,4682,6.8,5,15330
Realme,6,64,64,4159,6.3,2,21820
Asus,8,64,48,4603,6.4,1,33998
Vivo,12,256,16,5304,6.7,1,29329
Xiaomi,4,64,12,5134,6.2,0,29600
OnePlus,4,128,16,5608,6.5,2,26264
Vivo,12,128,48,5426,6.8,0,37400
OnePlus,6,256,48,5761,6.5,4,18972
Vivo,4,64,48,5487,6.4,2,17706
Asus,8,64,12,5872,6.1,1,33522
OnePlus,6,64,16,5524,6.3,0,38800
OnePlus,6,128,12,4864,6.7,5,16245
Oppo,6,64,12,5961,6.2,0,30600
Oppo,8,128,16,4676,6.6,3,20284
Asus,12,64,108,3617,6.6,5,21100
Oppo,12,128,32,4260,6.4,4,20892
Oppo,8,256,108,4914,6.8,3,24356
Vivo,6,128,64,3550,6.7,5,8755
Realme,6,256,48,3686,6.5,5,5000
Realme,8,64,108,5586,6.3,2,24270
Samsung,4,256,12,4445,6.8,2,30806
Vivo,4,64,12,5613,6.1,2,16910
Apple,12,256,48,4470,6.7,0,74400
Apple,12,256,108,3547,6.3,3,62250
Oppo,6,128,108,5604,6.7,3,17601
Asus,4,256,48,5785,6.4,0,36400
Oppo,6,64,64,4944,6.6,5,5000
Asus,6,64,12,3904,6.5,0,36600
Vivo,8,256,16,5368,6.3,1,27195
Oppo,4,128,16,5973,6.6,4,11052
Vivo,6,256,32,4977,6.5,2,20378
OnePlus,6,256,16,5871,6.3,0,38800
OnePlus,4,128,32,4657,6.6,1,33032
Xiaomi,4,64,64,5476,6.7,4,7404
Xiaomi,6,64,64,4074,6.6,3,18396
Vivo,6,256,16,3646,6.6,1,25557
OnePlus,4,64,16,3823,6.9,4,9396
Samsung,6,128,32,3741,6.8,2,28660
Samsung,12,256,64,4783,6.5,5,24740
Oppo,4,128,16,5778,6.3,5,5000
Samsung,12,256,12,4464,6.6,4,20804
Samsung,12,64,32,5237,6.2,4,30824
Apple,8,64,32,5125,6.9,0,69600
Vivo,8,128,12,4376,6.3,5,5260
Apple,4,256,16,4040,6.9,0,64800
Realme,6,64,16,5862,6.3,1,24048
Oppo,6,256,108,4277,6.2,5,14395
Samsung,6,128,48,3561,6.3,1,38604
Samsung,4,128,48,4979,6.2,1,36201
Oppo,8,64,108,4085,6.8,5,6310
Realme,12,128,64,5091,6.9,4,14848
Apple,4,128,108,5323,6.4,0,69400
OnePlus,8,128,16,4882,6.3,5,10610
Xiaomi,4,256,16,5862,6.3,5,5000
Samsung,8,128,48,5574,6.5,4,28960
Vivo,12,256,32,5041,6.7,3,20997
Xiaomi,6,256,48,5453,6.2,0,33400
Realme,8,256,108,3656,6.1,3,23337
Apple,8,256,12,4576,6.1,2,55310
Oppo,8,64,32,5822,6.8,3,12687
Realme,6,128,64,3560,6.2,3,10608
Apple,4,256,48,5791,6.9,4,41704
Samsung,12,256,32,4251,6.4,1,44162
Samsung,4,64,108,5982,6.4,3,27057
OnePlus,8,256,16,5440,6.3,4,23236
Apple,12,256,64,5339,6.8,4,49392
Vivo,8,64,48,5740,6.4,4,13864
Apple,4,64,16,4699,6.2,4,46040
Realme,8,256,16,3650,6.4,2,22214
Samsung,12,64,16,3575,6.7,1,40909
Vivo,12,64,64,4731,6.8,4,17156
Samsung,8,128,16,3661,6.4,1,38842
Xiaomi,8,128,64,3671,6.2,4,17292
Asus,4,128,16,5056,6.2,2,24884
Samsung,4,128,48,3537,6.5,2,30420
Realme,4,128,48,4650,6.4,0,28400
Oppo,8,64,48,4424,6.4,1,30083
Apple,8,64,48,5387,6.2,0,70400
Xiaomi,4,64,108,5295,6.7,1,27713
Apple,8,64,64,5716,6.2,5,49885
Realme,8,128,12,3940,6.7,3,18174
Oppo,6,128,32,4462,6.4,1,25873
Oppo,12,128,32,5342,6.3,5,11580
Samsung,12,128,48,3695,6.6,3,35309
Asus,6,256,16,4743,6.6,4,12512
Oppo,6,256,48,4795,6.4,2,21390
Xiaomi,12,256,108,5993,6.8,0,42400
Xiaomi,12,64,12,5682,6.7,4,20960
Oppo,8,256,16,4235,6.7,0,32800
Vivo,8,128,16,3984,6.7,1,25369
Oppo,12,256,16,4892,6.8,4,12604
Vivo,4,256,64,3874,6.8,5,5000
Realme,4,256,108,4713,6.3,4,5696
Samsung,4,256,64,3764,6.6,1,35423
Samsung,8,256,64,5135,6.8,5,11515
Vivo,12,256,16,4888,6.2,0,35800
Xiaomi,6,256,12,4471,6.1,4,8408
Samsung,12,64,108,5722,6.4,4,25996
Xiaomi,4,64,12,4599,6.4,0,29600
Realme,4,64,64,4774,6.8,1,24615
Oppo,4,64,12,4631,6.5,3,14206
Apple,8,128,108,4222,6.7,5,38770
Xiaomi,4,256,12,4065,6.4,3,8642
Samsung,6,128,48,4672,6.4,4,26836
Samsung,4,128,108,4045,6.3,1,38480
Apple,4,128,64,3888,6.6,1,62235
Oppo,4,256,48,5613,6.3,0,30400
Asus,6,256,16,4994,6.7,2,27172
Xiaomi,12,256,12,3654,6.8,4,17292
Apple,6,128,48,4521,6.6,0,68400
Oppo,8,256,16,4419,6.6,5,5000
OnePlus,6,256,32,5846,6.7,2,31134
OnePlus,8,64,64,4028,6.3,1,37356
Oppo,8,64,108,5044,6.5,0,37400
Vivo,12,128,16,4428,6.4,4,10588
Apple,4,64,64,4983,6.8,4,48100
Realme,6,64,48,3766,6.8,2,17722
Apple,8,128,48,4497,6.8,5,37285
Realme,4,128,48,5969,6.9,3,9881
Oppo,6,128,32,5937,6.5,2,20458
Apple,8,256,48,4692,6.8,0,70400
Apple,4,128,32,4612,6.7,3,48656
Xiaomi,6,64,16,4981,6.6,4,10472
Samsung,8,64,108,4643,6.8,2,36168
Vivo,12,128,48,5413,6.6,0,37400
Xiaomi,8,64,12,3721,6.7,0,33600
Xiaomi,4,256,16,5776,6.5,5,5310
Asus,12,256,108,5491,6.3,2,35668
Apple,4,256,12,5373,6.4,4,37256
OnePlus,8,128,64,5739,6.6,2,34448
Xiaomi,4,256,64,3761,6.8,1,27587
Xiaomi,12,256,64,5938,6.8,2,31896
Asus,8,64,32,4335,6.3,2,27274
OnePlus,4,256,108,3982,6.4,3,22251
Xiaomi,6,256,48,5248,6.1,4,9044
Asus,6,256,64,3877,6.6,2,25742
Xiaomi,4,64,16,4978,6.7,1,23569
Samsung,8,256,64,4826,6.8,2,37468
Vivo,12,128,32,4043,6.3,4,19948
Asus,12,128,48,3637,6.5,5,22275
Xiaomi,12,256,108,5927,6.1,0,42400
Oppo,4,256,12,5667,6.5,5,5000
Asus,8,64,64,3615,6.8,2,29840
Vivo,6,128,12,5669,6.6,3,15374
Xiaomi,4,128,48,5888,6.2,5,5000
Oppo,4,256,64,5931,6.8,1,25416
Asus,6,64,32,4513,6.9,4,17068
Oppo,6,64,12,5123,6.5,3,15141
OnePlus,4,128,32,5704,6.8,1,33014
Apple,4,64,12,3612,6.2,2,55286
Vivo,6,256,32,4519,6.7,2,17402
Xiaomi,12,256,64,4513,6.5,3,27027
Oppo,4,64,32,5422,6.6,1,23293
Realme,6,128,32,4340,6.3,0,29600
Xiaomi,4,256,16,4533,6.7,3,12016
Samsung,4,256,16,3753,6.7,3,22175
Realme,6,256,48,4480,6.4,0,30400
Vivo,12,256,16,5482,6.9,0,35800
Oppo,4,64,12,3685,6.6,1,24476
Oppo,8,128,32,4885,6.1,0,33600
OnePlus,6,128,32,5338,6.9,0,39600
Samsung,8,128,12,4386,6.5,4,15888
Oppo,6,256,108,3598,6.6,1,30680
Samsung,8,128,48,4439,6.9,5,16510
Realme,6,64,16,4328,6.2,0,28800
Asus,12,128,48,5838,6.4,3,29334
Xiaomi,8,256,16,4231,6.6,1,27851
Samsung,6,128,16,4320,6.7,0,41800
OnePlus,8,64,16,5570,6.6,3,27222
Realme,6,64,48,4693,6.9,0,30400
Asus,12,256,16,3977,6.1,2,32538
Asus,8,256,108,5731,6.2,1,38886
OnePlus,4,64,48,3637,6.9,5,10875
Vivo,8,256,108,5854,6.1,4,19036
Oppo,8,128,64,4003,6.4,1,29838
Vivo,6,256,12,5747,6.8,5,5000
Asus,8,256,48,5573,6.2,3,22976
Xiaomi,8,128,12,5943,6.6,4,8104
Xiaomi,4,128,16,5879,6.6,5,8600
Asus,4,256,64,4446,6.1,4,10800
OnePlus,4,128,32,4775,6.1,3,22450
Asus,4,128,16,4883,6.6,5,10805
Asus,8,256,12,4269,6.7,3,19775
OnePlus,6,128,48,4623,6.8,5,5625
Apple,4,256,32,5632,6.5,1,60179
Asus,12,256,32,5506,6.7,1,37101
Apple,6,128,32,5805,6.5,2,59348
Asus,6,256,64,4352,6.4,3,22844
Realme,12,128,48,4251,6.1,3,17644
Asus,12,128,64,5480,6.3,3,27137
Xiaomi,6,256,64,6000,6.5,0,34200
Vivo,8,128,12,4054,6.2,3,11533
Vivo,8,128,12,3793,6.8,1,25800
OnePlus,6,256,32,5075,6.2,4,21336
Xiaomi,4,64,64,4648,6.9,1,26421
Realme,6,128,64,4541,6.8,3,16860
Vivo,4,256,32,4597,6.8,0,28600
Asus,6,256,12,4336,6.6,0,36600
Vivo,4,64,32,4726,6.2,4,5000
Xiaomi,4,128,32,4929,6.7,4,8272
Asus,12,256,64,5146,6.3,0,45200
Samsung,4,128,48,4711,6.3,0,41400
Apple,8,256,12,5727,6.1,0,68600
Asus,12,256,12,3851,6.4,1,37465
Samsung,8,128,48,4455,6.7,0,45400
Apple,8,256,32,4988,6.4,3,52323
Vivo,4,128,64,5591,6.1,3,13178
Oppo,12,128,108,4996,6.5,0,41400
Xiaomi,8,256,32,3746,6.2,0,34600
Vivo,4,64,108,3909,6.8,4,14540
Realme,6,128,108,3533,6.5,0,33400
Apple,4,256,16,4233,6.5,1,59738
Samsung,4,256,108,4682,6.6,4,16872
Vivo,6,64,48,5670,6.9,4,12680
Realme,4,64,64,5471,6.9,0,29200
Realme,8,128,32,4183,6.8,3,12688
Realme,4,256,108,5561,6.8,3,14564
OnePlus,8,256,12,3531,6.2,1,35144
Samsung,8,64,64,5523,6.4,3,26748
OnePlus,6,256,64,3990,6.8,1,37138
Realme,12,64,48,5314,6.7,3,20797
OnePlus,4,64,64,4247,6.3,4,12880
Samsung,6,64,64,5474,6.2,5,21510
Realme,12,128,108,4017,6.6,1,33567
Samsung,4,128,48,5150,6.4,1,35223
Vivo,4,256,32,4466,6.2,2,16070
Samsung,6,256,64,4251,6.3,3,23458
OnePlus,6,64,48,5042,6.7,0,40400
Asus,4,64,32,3849,6.4,5,13360
Samsung,12,256,32,4994,6.3,3,29820
Samsung,6,64,64,3525,6.9,2,34240
Apple,6,128,108,5787,6.7,3,53736
Realme,8,64,16,4205,6.3,1,25905
Apple,4,64,12,4617,6.2,0,64600
Xiaomi,4,256,16,3685,6.1,1,25379
Samsung,8,128,12,4263,6.2,5,11515
Oppo,4,128,12,5638,6.7,1,23806
OnePlus,4,64,12,5408,6.5,3,21462
Apple,4,128,32,5772,6.1,4,47900
Apple,4,256,32,4094,6.5,3,44777
OnePlus,4,256,64,5805,6.2,4,19040
Realme,12,128,48,4951,6.4,4,19688
Vivo,6,256,48,4836,6.3,5,7865
Apple,8,128,64,5753,6.2,5,41850
Apple,12,256,48,4826,6.6,5,52125
Apple,8,128,12,5821,6.2,2,57380
Realme,4,128,48,4187,6.3,1,24272
Oppo,12,256,32,5408,6.3,4,13460
Samsung,6,128,12,3561,6.8,1,35816
OnePlus,4,64,64,5764,6.3,3,24116
Oppo,4,64,12,5915,6.6,3,14470
Asus,6,128,48,4796,6.5,0,38400
Oppo,4,256,108,5536,6.5,0,33400
Oppo,8,64,32,5031,6.6,3,13359
Xiaomi,6,128,64,3671,6.9,2,25680
OnePlus,6,128,32,4823,6.7,1,34736
Apple,4,128,64,5296,6.5,5,39770
Oppo,12,64,16,5269,6.5,1,31858
OnePlus,8,256,32,5457,6.7,0,41600
Xiaomi,8,256,32,4697,6.4,5,13855
Apple,4,128,16,5748,6.6,4,40216
Xiaomi,12,128,32,3797,6.4,0,38600
Apple,4,256,64,4447,6.2,1,61768
Oppo,8,64,48,3532,6.7,4,11760
Vivo,4,128,64,5866,6.7,4,11780
Vivo,6,64,64,4635,6.7,4,5872
Realme,12,128,32,4971,6.3,0,35600
Apple,8,64,12,4994,6.3,4,42620
Apple,12,128,32,3668,6.3,4,46696
Samsung,6,64,48,4341,6.2,5,10605
Realme,4,64,16,4589,6.7,5,5000
Realme,8,64,12,4907,6.2,2,18552
Realme,12,256,48,5582,6.6,3,21907
Apple,12,128,108,5511,6.8,1,70465
Realme,4,64,64,3650,6.6,3,10288
Oppo,8,128,64,5961,6.6,4,14088
Xiaomi,8,128,108,3682,6.4,1,32683
Vivo,12,128,48,4561,6.5,2,27974
OnePlus,4,128,64,5868,6.9,1,32849
Samsung,4,64,48,3926,6.2,5,11815
Oppo,12,128,64,5646,6.6,2,26844
OnePlus,4,64,108,4235,6.8,3,25230
Vivo,6,64,48,4895,6.1,1,24752
Xiaomi,8,128,108,5258,6.4,0,38400
Oppo,8,128,108,5670,6.3,1,31957
OnePlus,6,128,32,4926,6.5,3,23559
Xiaomi,8,256,16,4148,6.1,4,16668
Xiaomi,12,128,64,5921,6.3,3,19659
Apple,6,64,48,3506,6.1,0,68400
Apple,6,128,108,5708,6.7,3,58302
Asus,4,64,48,4207,6.5,3,21031
Vivo,4,64,16,5014,6.8,1,22281
Realme,12,256,12,4746,6.6,1,27654
Vivo,8,128,32,5732,6.5,0,32600
Asus,12,256,12,5307,6.1,1,36255
OnePlus,4,128,12,3514,6.2,0,36600
Asus,6,128,32,3772,6.6,3,25438
OnePlus,8,256,108,4387,6.4,4,29092
Asus,12,128,64,5510,6.8,5,20650
Oppo,8,64,48,4289,6.3,2,24958
Asus,4,128,32,3664,6.3,2,24374
Realme,12,256,48,5460,6.3,0,36400
Asus,4,256,32,3535,6.5,5,5700
Oppo,6,128,32,5327,6.5,2,20758
Realme,12,64,48,4588,6.7,3,20179
Realme,4,256,16,5466,6.7,3,10198
Samsung,6,128,12,5591,6.6,4,23976
Realme,4,256,64,4084,6.4,3,10630
Xiaomi,8,256,48,3834,6.1,4,10108
Realme,8,256,12,5837,6.2,2,17572
Vivo,12,64,32,5181,6.3,4,15868
Vivo,8,256,12,5317,6.1,4,11564
Samsung,12,128,32,5302,6.7,3,35922
Apple,8,64,12,5469,6.8,0,68600
Oppo,12,128,48,5039,6.4,5,5225
Realme,8,256,108,4376,6.8,4,15956
Xiaomi,6,64,32,5277,6.4,0,32600
Xiaomi,6,128,32,3754,6.6,1,26107
OnePlus,4,256,48,4986,6.9,0,38400
OnePlus,8,64,12,4069,6.9,3,23281
Xiaomi,8,64,108,5498,6.3,0,38400
